product,store,price,category,price_numeric
Meggle Cottage Cheese XXL,kosik,170.79,Sýry,170.79
"Liptov Bryndza plnotučná, termizovaná",kosik,429.00,Sýry,429.0
Matylda BIO Eidam plátky (30%),kosik,449.00,Sýry BIO a farmářské,449.0
Lučina Nadýchaná se smetanou,kosik,377.86,Sýry,377.86
Lučina Nadýchaná bez laktózy,kosik,385.00,Mléčné,385.0
Italat Mozzarella třešinky v nálevu,kosik,223.17,Sýry,223.17
Lučina & Skyr,kosik,357.50,Sýry,357.5
Lučina Kozí,kosik,466.00,Sýry,466.0
Lučina Čerstvý sýr,kosik,369.35,Sýry,369.35
Lučina Pro děti tvarohovo smetanový sýr,kosik,419.00,Mléčné,419.0
Lytras Feta PDO,kosik,349.50,Sýry,349.5
Galbani Mozzarella Lactose Free,kosik,359.00,Mléčné,359.0
Liptov Parenica neuzená,kosik,393.58,Sýry,393.58
Liptov Hravé Korbáčiky,kosik,572.73,Mléčné,572.73
Lučina Smetanová,kosik,357.50,Sýry,357.5
Dublin Dairy Cheddar Red plátky,kosik,399.33,Sýry,399.33
Liptov Hravé Pareničky,kosik,499.00,Mléčné,499.0
Lakmilk Žervé natur,kosik,186.25,Sýry,186.25
Formagia Mascarpone ,kosik,211.60,Sýry,211.6
"Dublin Dairy Cheddar Red, strouhaný",kosik,399.33,Mléčné,399.33
Blaník Cottage (6%),kosik,192.67,Sýry,192.67
Eru Tavený sýr Maasdammer,kosik,389.00,Sýry,389.0
Meggle Cottage cheese čerstvý sýr pažitkový,kosik,221.67,Sýry,221.67
Leerdammer Original Finesse Plátky,kosik,411.25,Sýry,411.25
Leerdammer Protein plátky,kosik,561.25,Sýry,561.25
Veselá Kráva Lahodná XL Tavený sýr (16 ks),kosik,416.25,Sýry,416.25
Heinrichsthaler Tilsiter bez laktózy plátky,kosik,452.67,Mléčné,452.67
Lučina Nadýchaná s bylinkami,kosik,377.86,Sýry,377.86
Lučina Svěží Žervé natur,kosik,373.75,Sýry,373.75
Liptov Vrchár výrazný a aromatický,kosik,387.78,Sýry,387.78
Meggle Cottage Cheese chilli,kosik,221.67,Sýry,221.67
Kiri Z tvarohu a smetany (12 porcí),kosik,424.50,Mléčné,424.5
Dublin Dairy Cheddar Red bloček,kosik,574.50,Sýry,574.5
Leerdammer Lightlife,kosik,329.00,Sýry,329.0
Eru Tavený sýr uzený,kosik,389.00,Sýry,389.0
Kiri Křup Family pack,kosik,570.48,Mléčné,570.48
Veselá Kráva Sýr a Křup s tyčinkami s pizza příchutí - Rodinné balení,kosik,499.29,Mléčné,499.29
Gervais de la Créme,kosik,321.67,Sýry,321.67
Dublin Dairy Cheddar White bloček,kosik,349.50,Sýry,349.5
Liptov Pološtiepok na gril s brusinkovou omáčkou 4 ks,kosik,396.21,Sýry,396.21
Heinrichsthaler Emmentaler bez laktózy plátky,kosik,503.20,Mléčné,503.2
Sedlčanský Hermelín na gril Originál XXL,kosik,374.58,Sýry,374.58
ARO Emmentaler 45% ,kosik,274.52,Sýry,274.52
Kiri Z tvarohu a smetany (6 porcí),kosik,449.00,Mléčné,449.0
Lučina Svěží Žervé s pažitkou,kosik,373.75,Sýry,373.75
Veselá Kráva se Šunkou (8 ks),kosik,457.50,Sýry,457.5
"Caseamo Provolone dolce DOP, výkroj",kosik,629.90,Sýry,629.9
Veselá Kráva Bez laktózy Tavený sýr (8 ks),kosik,457.50,Mléčné,457.5
Zott Protein Mozzarella 125g Classic,kosik,311.20,Sýry,311.2
Heinrichsthaler Gouda plátky 48% bez laktózy,kosik,499.33,Sýry,499.33
Lučina Svěží Žervé s jogurtem,kosik,373.75,Sýry,373.75
Président Brie vlašské ořechy,kosik,343.20,Sýry,343.2
Mini Babybel Mini Rolls,kosik,1 057.65,Mléčné,
"Kiri Tavený sýr z tvarohu, smetany a jogurtu",kosik,377.86,Sýry,377.86
Kiri Křup,kosik,568.57,Mléčné,568.57
Président Brie,kosik,343.20,Sýry,343.2
Liptov Pološtiepok uzený,kosik,332.78,Sýry,332.78
Veselá Kráva Sýr a Křup přírodní snack,kosik,568.57,Mléčné,568.57
Violife Pomazánka originál,kosik,566.00,Mléčné,566.0
Gervais de la Créme s česnekem a pažitkou,kosik,321.67,Sýry,321.67
Violife Blok s příchutí goudy,kosik,349.50,Mléčné,349.5
ARO Emmentaler sýr 45% plátky,kosik,292.66,Sýry,292.66
Sedlčanský Hermelín PROTEIN 2x100g,kosik,349.50,Sýry,349.5
Veselá Kráva Smetanová Tavený sýr,kosik,399.00,Sýry,399.0
Président Camembert Délicatesse,kosik,315.26,Sýry,315.26
Casino Gouda s kmínem,kosik,466.00,Sýry,466.0
ARO Ricotta,kosik,127.60,Sýry,127.6
Violife Plátky s příchutí goudy,kosik,629.00,Mléčné,629.0
Eru Tavený sýr Kids s přidaným vápníkem,kosik,389.00,Mléčné,389.0
Koliba oštěpek 44% t. v s. 290 g (4x 60 g + 50 g) na gril s brusinkovou omáčkou,kosik,320.34,Sýry,320.34
"Caseamo Gouda red pesto, výkroj",kosik,729.90,Sýry,729.9
Galbani Mozzarella Protein,kosik,295.20,Sýry,295.2
Sedlčanský Hermelín na gril S pepřem XXL,kosik,374.58,Sýry,374.58
Fine Life Nitě sýrové neuzené,kosik,349.00,Sýry,349.0
"Monoprix Strouhaný ementál, 3x35g",kosik,522.86,Sýry,522.86
Liptov Oštiepok plátky uzené,kosik,387.78,Sýry,387.78
Liptov Hranolčeky na gril,kosik,547.14,Sýry,547.14
Krajánek sýr na pánev i na gril 2x 50 g natur,kosik,369.00,Mléčné,369.0
Kiri Křup pizza,kosik,597.14,Mléčné,597.14
